CCTV,#genre#
大美河南,http://222.85.69.6/PLTV/88888888/224/3221227087/index.m3u8?icpid=88888888&servicetype=1
大美河南,http://222.85.69.6/PLTV/88888888/224/3221227157/index.m3u8?icpid=88888888&servicetype=1
欢腾购物,http://222.85.69.6/PLTV/88888888/224/3221226983/index.m3u8?icpid=88888888&servicetype=1
大象百姓调解,http://222.85.69.6/PLTV/88888888/224/3221226998/index.m3u8?icpid=88888888&servicetype=1
数字频道,#genre#
北京纪实科教,http://222.85.69.6/PLTV/88888888/224/3221227250/index.m3u8?icpid=88888888&servicetype=1
多彩文体4K,http://222.85.69.6/PLTV/88888888/224/3221227134/index.m3u8?icpid=88888888&servicetype=1
都市剧场,http://222.85.69.6/PLTV/88888888/224/3221227127/index.m3u8?icpid=88888888&servicetype=1
动漫秀场,http://222.85.69.6/PLTV/88888888/224/3221227131/index.m3u8?icpid=88888888&servicetype=1
法治天地,http://222.85.69.6/PLTV/88888888/224/3221227170/index.m3u8?icpid=88888888&servicetype=1
生活时尚,http://222.85.69.6/PLTV/88888888/224/3221227148/index.m3u8?icpid=88888888&servicetype=1
汽摩频道,http://222.85.69.6/PLTV/88888888/224/3221227149/index.m3u8?icpid=88888888&servicetype=1
武术世界,http://222.85.69.6/PLTV/88888888/224/3221227003/index.m3u8?icpid=88888888&servicetype=1
梨园频道,http://222.85.69.6/PLTV/88888888/224/3221226996/index.m3u8?icpid=88888888&servicetype=1
文物宝库,http://222.85.69.6/PLTV/88888888/224/3221226999/index.m3u8?icpid=88888888&servicetype=1
中国天气,http://222.85.69.6/PLTV/88888888/224/3221227121/index.m3u8?icpid=88888888&servicetype=1
卡酷少儿,http://222.85.69.6/PLTV/88888888/224/3221226992/index.m3u8?icpid=88888888&servicetype=1
游戏风云,http://222.85.69.6/PLTV/88888888/224/3221227152/index.m3u8?icpid=88888888&servicetype=1
金鹰纪实,http://222.85.69.6/PLTV/88888888/224/3221227154/index.m3u8?icpid=88888888&servicetype=1
快乐垂钓,http://222.85.69.6/PLTV/88888888/224/3221227128/index.m3u8?icpid=88888888&servicetype=1
金色学堂,http://222.85.69.6/PLTV/88888888/224/3221227145/index.m3u8?icpid=88888888&servicetype=1
财富天下,http://222.85.69.6/PLTV/88888888/224/3221227195/index.m3u8?icpid=88888888&servicetype=1
乐游频道,http://222.85.69.6/PLTV/88888888/224/3221227155/index.m3u8?icpid=88888888&servicetype=1
环球旅游,http://222.85.69.6/PLTV/88888888/224/3221227192/index.m3u8?icpid=88888888&servicetype=1
书画频道,http://222.85.69.6/PLTV/88888888/224/3221227160/index.m3u8?icpid=88888888&servicetype=1
国学频道,http://222.85.69.6/PLTV/88888888/224/3221227090/index.m3u8?icpid=88888888&servicetype=1
中学生,http://222.85.69.6/PLTV/88888888/224/3221227189/index.m3u8?icpid=88888888&servicetype=1
发现之旅,http://222.85.69.6/PLTV/88888888/224/3221227151/index.m3u8?icpid=88888888&servicetype=1
老故事,http://222.85.69.6/PLTV/88888888/224/3221227173/index.m3u8?icpid=88888888&servicetype=1
优漫卡通,http://222.85.69.6/PLTV/88888888/224/3221227031/index.m3u8?icpid=88888888&servicetype=1
嘉佳卡通,http://222.85.69.6/PLTV/88888888/224/3221226995/index.m3u8?icpid=88888888&servicetype=1
金鹰卡通,http://222.85.69.6/PLTV/88888888/224/3221227012/index.m3u8?icpid=88888888&servicetype=1
东方财经,http://222.85.69.6/PLTV/88888888/224/3221227141/index.m3u8?icpid=88888888&servicetype=1
优优宝贝,http://222.85.69.6/PLTV/88888888/224/3221227146/index.m3u8?icpid=88888888&servicetype=1
四海钓鱼,http://222.85.69.6/PLTV/88888888/224/3221227168/index.m3u8?icpid=88888888&servicetype=1
郑州及地方,#genre#
郑州新闻综合,http://222.85.69.6/PLTV/88888888/224/3221227035/index.m3u8?icpid=88888888&servicetype=1
郑州商都频道,http://222.85.69.6/PLTV/88888888/224/3221227028/index.m3u8?icpid=88888888&servicetype=1
郑州文体旅游,http://222.85.69.6/PLTV/88888888/224/3221227032/index.m3u8?icpid=88888888&servicetype=1
郑州豫剧频道,http://222.85.69.6/PLTV/88888888/224/3221227066/index.m3u8?icpid=88888888&servicetype=1
郑州妇女儿童,http://222.85.69.6/PLTV/88888888/224/3221227063/index.m3u8?icpid=88888888&servicetype=1
郑州都市生活,http://222.85.69.6/PLTV/88888888/224/3221227060/index.m3u8?icpid=88888888&servicetype=1
